Employee ID,Predicted Band,Confidence (%),Training Needed,Training Topics,Promotion Ready,PIP Required,PIP Goals,Retention Risk,Wellbeing Flag,Recommended Actions,Priority,HR Summary
EMP0001,Medium,71.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (71.0% confidence). Retention risk: Low.
EMP0001,Medium,55.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (55.7% confidence). Retention risk: Low.
EMP0001,Medium,77.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (77.4% confidence). Retention risk: Low.
EMP0001,Medium,70.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (70.6% confidence). Retention risk: Low.
EMP0002,Medium,83.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (83.2% confidence). Retention risk: Low.
EMP0002,Medium,78.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (78.5% confidence). Retention risk: Low.
EMP0002,Medium,75.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (75.6% confidence). Retention risk: Low.
EMP0002,Medium,88.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (88.8% confidence). Retention risk: Low.
EMP0003,Medium,60.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (60.4% confidence). Retention risk: Low.
EMP0003,Medium,65.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (65.6% confidence). Retention risk: Low.
EMP0003,Low,75.3,False,,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (75.3% confidence). PIP required.Retention risk: Medium.
EMP0003,Medium,52.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (52.2% confidence). Retention risk: Low.
EMP0004,Medium,96.9,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.9% confidence). Retention risk: Low.
EMP0004,Medium,98.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (98.4% confidence). Retention risk: Low.
EMP0004,Medium,95.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (95.2% confidence). Retention risk: Low.
EMP0004,Medium,96.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.2% confidence). Retention risk: Low.
EMP0005,Low,53.2,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (53.2% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0005,Medium,81.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (81.0% confidence). Retention risk: Low.
EMP0005,Low,84.4,True,Role-specific technical skills bootcamp,False,True,Develop 90-day performance recovery plan with measurable KPIs,Medium,False,⚠️  Schedule PIP review meeting within 2 weeks; 📅 Assign dedicated performance coach / mentor; 🟡 Moderate retention risk — quarterly engagement check-in advised,Urgent,[Urgent] Low performer (84.4% confidence). Training: Role-specific technical skills bootcamp. PIP required.Retention risk: Medium.
EMP0005,Medium,78.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (78.8% confidence). Retention risk: Low.
EMP0006,Medium,93.7,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (93.7% confidence). Retention risk: Low.
EMP0006,Medium,97.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.5% confidence). Retention risk: Low.
EMP0006,Medium,96.5,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.5% confidence). Retention risk: Low.
EMP0006,Medium,88.8,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (88.8% confidence). Retention risk: Low.
EMP0007,Medium,80.6,True,Role-specific technical skills bootcamp,False,False,,Low,False,📚 Targeted skills development can unlock High performance in next quarter,Medium,[Medium] Medium performer (80.6% confidence). Training: Role-specific technical skills bootcamp. Retention risk: Low.
EMP0007,Medium,92.1,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (92.1% confidence). Retention risk: Low.
EMP0007,Medium,80.0,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (80.0% confidence). Retention risk: Low.
EMP0007,Medium,96.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.4% confidence). Retention risk: Low.
EMP0008,Medium,95.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (95.6% confidence). Retention risk: Low.
EMP0008,Medium,81.5,False,,False,False,,Low,True,🏥 Attendance (74%) is critically low — confidential wellbeing session recommended; 📈 Near High-performer threshold — consider stretch project assignment,Urgent,[Urgent] Medium performer (81.5% confidence). Retention risk: Low.
EMP0008,Medium,54.4,True,Role-specific technical skills bootcamp,False,False,,Low,False,📚 Targeted skills development can unlock High performance in next quarter,Medium,[Medium] Medium performer (54.4% confidence). Training: Role-specific technical skills bootcamp. Retention risk: Low.
EMP0008,Medium,92.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (92.4% confidence). Retention risk: Low.
EMP0009,Medium,97.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.2% confidence). Retention risk: Low.
EMP0009,Medium,97.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.4% confidence). Retention risk: Low.
EMP0009,Medium,98.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (98.4% confidence). Retention risk: Low.
EMP0009,Medium,97.2,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (97.2% confidence). Retention risk: Low.
EMP0010,Medium,96.6,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.6% confidence). Retention risk: Low.
EMP0010,Medium,96.4,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (96.4% confidence). Retention risk: Low.
EMP0010,Medium,86.9,False,,False,False,,Low,False,📈 Near High-performer threshold — consider stretch project assignment,Normal,[Normal] Medium performer (86.9% confidence). Retention risk: Low.
